Station Name,Adjacent building,Adjacent station,Architect,Area,Connecting line,Date of official closure,Date of official opening,Different from,Has part(s),Has use,Heritage designation,Inception,Interchange station,Localisation,Located on street,Location,Named after,Operator,Owned by,Part of,Pronunciation audio,Significant event,Street address,Transport network,Visitors per year
Ranelagh (Paris Metro),,"Jasmin (Pont de Sèvres, Paris Métro Line 9)La Muette (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,8 November 1922,Ranelagh Luas stopRanelagh train station,,,,,,"48° 51′ 16.99″ N, 2° 16′ 09.98″ E",,"16th arrondissement of Paris, Paris, Grand Paris, France",rue du Ranelagh,RATP,RATP,,,,,Paris Métro,
Rambuteau (Paris Metro),,"Hôtel de Ville (Châtelet, Paris Métro Line 11)Arts et Métiers (Rosny-Bois-Perrier, Paris Métro Line 11)",,,Paris Métro Line 11,,28 April 1935,,,,,,,"48° 51′ 42.41″ N, 2° 21′ 13.72″ E",,3rd arrondissement of Paris4th arrondissement of ParisFrance,Rue Rambuteau,RATP,RATP,,,,,Paris Métro,
Quatre-Septembre (Paris Metro),,,,,,,,,,,,,,"48° 52′ 11″ N, 2° 20′ 12″ E",,,,,,,,,,,
Raspail (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Reuilly - Diderot (Paris Metro),,"Gare de Lyon (La Défense, Paris Métro Line 1)Nation (Château de Vincennes, Paris Métro Line 1)Faidherbe – Chaligny (Balard, Paris Métro Line 8)Montgallet (Pointe du Lac, Paris Métro Line 8)",,,"Paris Métro Line 1 (Nation, Gare de Lyon)Paris Métro Line 8 (Montgallet, Faidherbe – Chaligny)",,20 August 1900 (Paris Métro Line 1),,,,,,,"48° 50′ 50.06″ N, 2° 23′ 10.03″ E",,"12th arrondissement of Paris, Paris, Grand Paris, France",rue de Reuillyboulevard Diderot (1931–),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),,,,,Paris Métro,
Rennes (Paris Metro),,"Sèvres–Babylone (Mairie d'Aubervilliers, Paris Métro Line 12)Notre-Dame-des-Champs (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,5 November 1910,Rennes ,,,,,,"48° 50′ 53″ N, 2° 19′ 40″ E",,"6th arrondissement of Paris, Paris, Grand Paris, France",rue de Rennes,RATP,RATP,,,,,Paris Métro,
République (Paris Metro),,,,,,,,,,,,,,"48° 52′ 03″ N, 2° 21′ 48″ E",,,,,,,,,,,
Richard-Lenoir (Paris Metro),,,,,,,,,,,,,,"48° 51′ 35″ N, 2° 22′ 19″ E",,,,,,,,,,,
Richelieu - Drouot (Paris Metro),,"Opéra (Balard, Paris Métro Line 8)Grands Boulevards (Pointe du Lac, Paris Métro Line 8)Chaussée d'Antin – La Fayette (Pont de Sèvres, Paris Métro Line 9)Grands Boulevards (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 8Paris Métro Line 9,,5 May 1931,,,,,,,"48° 52′ 18.98″ N, 2° 20′ 19″ E",,2nd arrondissement of Paris9th arrondissement of ParisFrance,rue de Richelieurue Drouot,RATP,RATP,,,,,Paris Métro,
Riquet (Paris Metro),,"Stalingrad (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Crimée (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,6 November 1910,,,,,,,"48° 53′ 16.01″ N, 2° 22′ 23.99″ E",,"19th arrondissement of Paris, Paris, Grand Paris, France",,RATP,RATP,,,,,Paris Métro,
Robespierre (Paris Metro),,"Porte de Montreuil (Pont de Sèvres, Paris Métro Line 9)Croix de Chavaux (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,14 October 1937,,,,,,,"48° 51′ 20.46″ N, 2° 25′ 25.24″ E",,"Montreuil, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",Maximilien Robespierre,RATP,RATP,,,,,Paris Métro,
Rome (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Romainville - Carnot (Paris Metro),,"Serge Gainsbourg (Châtelet, Paris Métro Line 11)Montreuil - Hôpital (Rosny-Bois-Perrier, Paris Métro Line 11)",,,Paris Métro Line 11,,13 June 2024,,,,,,Place Carnot,"48° 52′ 59.41″ N, 2° 26′ 25.87″ E",,RomainvilleNoisy-le-SecFrance,Sadi CarnotPlace Carnot,RATP,RATP,,,,,Paris Métro,
Rosny-Bois-Perrier (Paris Metro),,"Coteaux Beauclair (Châtelet, Paris Métro Line 11)",,,Paris Métro Line 11 (Coteaux Beauclair),,13 June 2024,,,,,,Rosny-Bois-Perrier station,"48° 52′ 56.71″ N, 2° 28′ 50.99″ E",,"Rosny-sous-Bois, Seine-Saint-Denis, Île-de-France, Metropolitan France, France",Rosny-sous-Bois,RATP,RATP,,,,,Paris Métro,
Rue du Bac (Paris Metro),,"Solférino (Mairie d'Aubervilliers, Paris Métro Line 12)Sèvres–Babylone (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,5 November 1910,,,,,1910,,"48° 51′ 20″ N, 2° 19′ 32″ E",,"7th arrondissement of Paris, Paris, Grand Paris, France",Rue du Bac,RATP,RATP,,,,,Paris Métro,
Rue de la Pompe (Paris Metro),,"La Muette (Pont de Sèvres, Paris Métro Line 9)Trocadéro (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,8 November 1922,,,,,,,"48° 51′ 50.42″ N, 2° 16′ 41.11″ E",,"16th arrondissement of Paris, Paris, Grand Paris, France",rue de la Pompe,RATP,RATP,,,,,Paris Métro,
Rue Saint-Maur (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Rue des Boulets (Paris Metro),,"Charonne (Pont de Sèvres, Paris Métro Line 9)Nation (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,10 December 1933,,,,,1933,,"48° 51′ 06.01″ N, 2° 23′ 24″ E",,"11th arrondissement of Paris, Paris, Grand Paris, France",rue des Boulets,RATP,RATP,,,,,Paris Métro,
Les Sablons (Paris Metro),,"Pont de Neuilly (La Défense, Paris Métro Line 1)Porte Maillot (Château de Vincennes, Paris Métro Line 1)",,,"Paris Métro Line 1 (Porte Maillot, Pont de Neuilly)",,29 April 1937,,,,,,,"48° 52′ 51.25″ N, 2° 16′ 21.14″ E",,"Neuilly-sur-Seine, arrondissement of Nanterre, Hauts-de-Seine, Île-de-France, Metropolitan France, France",,RATP (1949–),RATP (1949–),,,,,Paris Métro,
Rueil - Suresnes Mont-Valérien (Paris Metro),,"Nanterre La Boule (Saint-Denis Pleyel, Paris Métro Line 15)Saint-Cloud (Pont de Sèvres, Paris Métro Line 15)",,,Paris Métro Line 15,,,,,,,,,"48° 52′ 19.56″ N, 2° 12′ 07.56″ E",,,,,,,,,,Paris Métro,
Saint-Denis - Université (Paris Metro),,"Basilique de Saint-Denis (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,25 May 1998,,,,,1998,Guynemer,"48° 56′ 45″ N, 2° 21′ 49″ E",,Saint-DenisFrance,Saint-DenisParis 8 University,RATP,RATP,,,,,Paris Métro,
Saint-Ambroise (Paris Metro),,"Oberkampf (Pont de Sèvres, Paris Métro Line 9)Voltaire (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,10 December 1933,,,,,,,"48° 51′ 41″ N, 2° 22′ 26″ E",,"11th arrondissement of Paris, Paris, Grand Paris, France",,RATP,RATP,,,,,Paris Métro,
Saint-Augustin (Paris Metro),,"Miromesnil (Pont de Sèvres, Paris Métro Line 9)Havre – Caumartin (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,27 May 1923,,,,,,Saint-Lazare,"48° 52′ 27.01″ N, 2° 19′ 18.98″ E",,"8th arrondissement of Paris, Paris, Grand Paris, France","Saint-Augustin, Paris",RATP,RATP,,,,,Paris Métro,
Saint-Denis - Porte de Paris (Paris Metro),,,,,,,,,,,,,,"48° 55′ 47.17″ N, 2° 21′ 23.72″ E",,,,,,,,,,,
Saint-Fargeau (Paris Metro),,"Pelleport (Gambetta, Paris Métro Line 3bis)Porte des Lilas (Porte des Lilas, Paris Métro Line 3bis)",,,Paris Métro Line 3bis,,27 November 1921,,,,,,,"48° 52′ 18.98″ N, 2° 24′ 15.98″ E",,"20th arrondissement of Paris, Paris, Grand Paris, France",,RATP,RATP,,,,,Paris Métro,
Saint-François-Xavier (Paris Metro),,"Varenne (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Duroc (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,20 December 1923,São Francisco Xavier,,,,,,"48° 51′ 06.98″ N, 2° 18′ 51.98″ E",,"7th arrondissement of Paris, Paris, Grand Paris, France","Saint-François-Xavier, Paris",RATP,RATP,,,,,Paris Métro,
Saint-Georges (Paris Metro),,"Pigalle (Mairie d'Aubervilliers, Paris Métro Line 12)Notre-Dame-de-Lorette (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,8 April 1911,,,,,,,"48° 52′ 42″ N, 2° 20′ 15″ E",,"9th arrondissement of Paris, Paris, Grand Paris, France",place Saint-Georges,RATP,RATP,,,,,Paris Métro,
Saint-Cloud (Paris Metro),,"Pont de Sèvres (Pont de Sèvres, Paris Métro Line 15)Rueil – Suresnes Mont-Valérien (Saint-Denis Pleyel, Paris Métro Line 15)",,,Paris Métro Line 15,,,,,,,,,"48° 50′ 37.32″ N, 2° 13′ 01.56″ E",,,,,,,,,,Paris Métro,
Saint-Denis Pleyel (Paris Metro),,"Les Grésillons (Pont de Sèvres, Paris Métro Line 15)Stade de France (Champigny Centre, Paris Métro Line 15)La Courneuve - Six Routes (Noisy - Champs, Paris Métro Line 16)Mairie de Saint-Ouen (Aéroport d'Orly, Paris Métro Line 14)La Courneuve - Six Routes (Le Mesnil-Amelot, Paris Métro Line 17)",Kengo Kuma,,Paris Métro Line 14Paris Métro Line 15 (building or structure under construction)Paris Métro Line 16 (building or structure under construction)Paris Métro Line 17 (building or structure under construction),,24 June 2024,,,,,,Stade de France – Saint-Denis,"48° 55′ 03.36″ N, 2° 20′ 48.01″ E",,Saint-DenisFrance,Saint-Deniscarrefour Pleyel,Keolis,,,,start of construction (2017),,Paris Métro,
Saint-Jacques (Paris Metro),,"Denfert-Rochereau (Charles de Gaulle - Étoile, Paris Métro Line 6)Glacière (Nation, Paris Métro Line 6)",,,Paris Métro Line 6,,24 April 1906,,,,,,,"48° 49′ 58.01″ N, 2° 20′ 12.98″ E",,"14th arrondissement of Paris, Paris, Grand Paris, France",Faubourg Saint-Jacquesboulevard Saint-Jacquesrue du Faubourg-Saint-Jacques,RATP,RATP,,,,,Paris Métro,
Saint-Germain-des-Prés (Paris Metro),,"Odéon (Porte de Clignancourt, Paris Métro Line 4)Saint-Sulpice (Bagneux–Lucie Aubrac, Paris Métro Line 4)",,,Paris Métro Line 4,,9 January 1910,,,,,1910,,"48° 51′ 13.01″ N, 2° 20′ 01.39″ E",,"6th arrondissement of Paris, Paris, Grand Paris, France",,RATP,RATP,,,,,Paris Métro,
Saint-Mandé (Paris Metro),,"Porte de Vincennes (La Défense, Paris Métro Line 1)Bérault (Château de Vincennes, Paris Métro Line 1)",,,"Paris Métro Line 1 (Bérault, Porte de Vincennes)",,24 March 1934,,,,,,,"48° 50′ 46.67″ N, 2° 25′ 07.22″ E",,Saint-MandéVincennesFrance,Saint-Mandé,RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1934–1948),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1934–1948),,,,,Paris Métro,
Saint-Marcel (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Maur - Créteil (Paris Metro),,"Créteil - L'Échat (Pont de Sèvres, Paris Métro Line 15)Champigny Centre (Noisy - Champs, Paris Métro Line 15)",,,Paris Métro Line 15,,,,,,,,,"48° 48′ 24.84″ N, 2° 28′ 21.97″ E",,,,,,,,,,Paris Métro,
Saint-Martin (Paris Metro),,Strasbourg – Saint-DenisRépublique,,,Paris Métro Line 8Paris Métro Line 9 (1933–),2 September 1939,5 May 1931,,,,,5 May 1931,,"48° 52′ 06.24″ N, 2° 21′ 31.18″ E",,"3rd arrondissement of Paris, Paris Centre, Paris, Grand Paris, France",boulevard Saint-Martin,,,,,,,Paris Métro,
Saint-Lazare (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Paul (Paris Metro),,"Hôtel de Ville (La Défense, Paris Métro Line 1)Bastille (Château de Vincennes, Paris Métro Line 1)",,,"Paris Métro Line 1 (Bastille, Hôtel de Ville)",,6 August 1900,,,,,,,"48° 51′ 18.52″ N, 2° 21′ 38.35″ E",,"4th arrondissement of Paris, Paris Centre, Paris, Grand Paris, France",rue Saint-PaulSaint-Paul-Saint-Louis,RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),RATP (1949–)Compagnie du chemin de fer métropolitain de Paris (1900–1948),,,,,Paris Métro,
Saint-Placide (Paris Metro),,"Saint-Sulpice (Porte de Clignancourt, Paris Métro Line 4)Montparnasse – Bienvenüe (Bagneux–Lucie Aubrac, Paris Métro Line 4)",,,Paris Métro Line 4,,9 January 1910,Saint-Placide,,,,9 January 1910,,"48° 50′ 48.5″ N, 2° 19′ 37.04″ E",,"6th arrondissement of Paris, Paris, Grand Paris, France",rue Saint-Placide,RATP,RATP,,,,,Paris Métro,
Saint-Philippe du Roule (Paris Metro),,"Franklin D. Roosevelt (Pont de Sèvres, Paris Métro Line 9)Miromesnil (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 9,,27 May 1923,,,,,1923,,"48° 52′ 20.39″ N, 2° 18′ 36.29″ E",,"8th arrondissement of Paris, Paris, Grand Paris, France",Église Saint-Philippe-du-Roule,RATP,RATP,,,,,Paris Métro,
Saint-Michel (Paris Metro),,,,,,,,,,,,,,"48° 51′ 11.34″ N, 2° 20′ 34.62″ E",,,,,,,,,,,
Saint-Sulpice (Paris Metro),,"Saint-Germain-des-Prés (Porte de Clignancourt, Paris Métro Line 4)Saint-Placide (Bagneux–Lucie Aubrac, Paris Métro Line 4)",,,Paris Métro Line 4,,9 January 1910,,,,,,,"48° 51′ 02.9″ N, 2° 19′ 51.12″ E",,"6th arrondissement of Paris, Paris, Grand Paris, France",rue Saint-Sulpice,RATP,RATP,,,,,Paris Métro,
Saint-Sébastien - Froissart (Paris Metro),,"Filles du Calvaire (Balard, Paris Métro Line 8)Chemin Vert (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,5 May 1931,,,,,,,"48° 51′ 37.01″ N, 2° 22′ 01.99″ E",,3rd arrondissement of Paris11th arrondissement of ParisFrance,Rue Saint-Sébastienrue Froissart (1932–),RATP,RATP,,,,,Paris Métro,
Satory (Paris Metro),,"Guyancourt (Aéroport d'Orly, Paris Métro Line 18)Versailles Chantiers (Nanterre La Folie, Paris Métro Line 18)",Corinne Vezzoni,,Paris Métro Line 18,,,,,,,,,"48° 47′ 14″ N, 2° 06′ 16″ E",,,,,,,,,,Paris Métro,
Ségur (Paris Metro),,"La Motte-Picquet – Grenelle (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Duroc (Gare d'Austerlitz, Paris Métro Line 10)",,,Paris Métro Line 10,,13 July 1913,,,,,,,"48° 50′ 49.24″ N, 2° 18′ 26.96″ E",,7th arrondissement of Paris15th arrondissement of ParisFrance,avenue de Ségur,RATP,RATP,,,,,Paris Métro,
Sevran - Beaudottes (Paris Metro),,"Sevran - Livry (Noisy - Champs, Paris Métro Line 16)Aulnay (Saint-Denis Pleyel, Paris Métro Line 16)",,,Paris Métro Line 16,,,,,,,,Sevran – Beaudottes station (building or structure under construction),"48° 56′ 49.8″ N, 2° 31′ 31.96″ E",,,,,,,,,,Paris Métro,
Sentier (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Sevran - Livry (Paris Metro),,"Clichy - Montfermeil (Noisy - Champs, Paris Métro Line 16)Sevran - Beaudottes (Saint-Denis Pleyel, Paris Métro Line 16)",,,Paris Métro Line 16,,,,,,,,Gare de Sevran – Livry (building or structure under construction),"48° 56′ 07.44″ N, 2° 32′ 05.28″ E",,,,,,,,,,Paris Métro,
Sèvres - Lecourbe (Paris Metro),,"Cambronne (Charles de Gaulle - Étoile, Paris Métro Line 6)Pasteur (Nation, Paris Métro Line 6)",,,Paris Métro Line 6,,24 April 1906,,,,,1906,,"48° 50′ 44.02″ N, 2° 18′ 33.98″ E",,"15th arrondissement of Paris, Paris, Grand Paris, France",rue de Sèvresrue Lecourbe,RATP,RATP,,,,,Paris Métro,
Sèvres–Babylone (Paris Metro),,"Vaneau (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Mabillon (Gare d'Austerlitz, Paris Métro Line 10)Rue du Bac (Mairie d'Aubervilliers, Paris Métro Line 12)Rennes (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 10 (1923–)Paris Métro Line 12,,5 November 1910,,,,,,,"48° 51′ 05″ N, 2° 19′ 36″ E",,6th arrondissement of Paris7th arrondissement of ParisFrance,rue de Sèvresrue de Babylone,RATP,RATP,,,,,Paris Métro,
Simplon (Paris Metro),,"Porte de Clignancourt (Porte de Clignancourt, Paris Métro Line 4)Marcadet – Poissonniers (Bagneux–Lucie Aubrac, Paris Métro Line 4)",,,Paris Métro Line 4,,21 April 1908,,,,,,,"48° 53′ 40.68″ N, 2° 20′ 49.53″ E",,"18th arrondissement of Paris, Paris, Grand Paris, France",Rue du Simplon,RATP,RATP,,,,,Paris Métro,
Solférino (Paris Metro),,"Assemblée nationale (Mairie d'Aubervilliers, Paris Métro Line 12)Rue du Bac (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,5 November 1910,,,,,,,"48° 51′ 30″ N, 2° 19′ 24″ E",,"7th arrondissement of Paris, Paris, Grand Paris, France",rue de Solférino,RATP,RATP,,,,,Paris Métro,
Stalingrad (Paris Metro),,"La Chapelle (Porte Dauphine, Paris Métro Line 2)Jaurès (Nation, Paris Métro Line 2)Gare du Nord (Place d'Italie, Paris Métro Line 5)Jaurès (Bobigny – Pablo Picasso, Paris Métro Line 5)Louis Blanc (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Riquet (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 2Paris Métro Line 5 (1942–)Paris Métro Line 7 (1910–),,31 January 1903,,,,,,,"48° 53′ 03.46″ N, 2° 21′ 57.48″ E",,10th arrondissement of Paris19th arrondissement of ParisFrance,,RATP,RATP,,,,,Paris Métro,
Strasbourg - Saint-Denis (Paris Metro),,"Château d'Eau (Porte de Clignancourt, Paris Métro Line 4)Réaumur – Sébastopol (Bagneux–Lucie Aubrac, Paris Métro Line 4)Bonne Nouvelle (Balard, Paris Métro Line 8)République (Pointe du Lac, Paris Métro Line 8)Bonne Nouvelle (Pont de Sèvres, Paris Métro Line 9)République (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 4Paris Métro Line 8 (1931–)Paris Métro Line 9 (1933–),,5 May 1908,,,,,,,"48° 52′ 09.12″ N, 2° 21′ 14.75″ E",,2nd arrondissement of Paris3rd arrondissement of Paris10th arrondissement of ParisFrance,boulevard de Strasbourg (1931–)rue Saint-Denis,RATP,RATP,,,,,Paris Métro,
Sully - Morland (Paris Metro),,"Jussieu (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Pont Marie (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,3 June 1930,,,,,,,"48° 51′ 05″ N, 2° 21′ 42.01″ E",,"4th arrondissement of Paris, Paris Centre, Paris, Grand Paris, France",Pont de Sullyboulevard Morland,RATP,RATP,,,,,Paris Métro,
Temple (Paris Metro),,,,,,,,,,,,,,"48° 51′ 59.4″ N, 2° 21′ 38.1″ E",,,,,,,,,,,
Ternes (Paris Metro),,,,,,,,,,,,,,,,,,,,,,,,,
Thiais - Orly (Paris Metro),,"Chevilly-Larue (Saint-Denis Pleyel, Paris Métro Line 14)Aéroport d'Orly (Aéroport d'Orly, Paris Métro Line 14)",Valode & Pistre,,"Paris Métro Line 14 (Aéroport d'Orly, Chevilly-Larue)",,24 June 2024,,,,,,Pont de Rungis – Aéroport d'Orly,"48° 44′ 51″ N, 2° 22′ 23″ E",,"Thiais, Val-de-Marne, Île-de-France, Metropolitan France, France",,RATP,RATP,,,,,Paris Métro,
Tolbiac (Paris Metro),,"Maison Blanche (Villejuif - Louis Aragon, Mairie d'Ivry, Paris Métro Line 7)Place d'Italie (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,7 March 1930,,,,,,,"48° 49′ 35.05″ N, 2° 21′ 25.98″ E",,"13th arrondissement of Paris, Paris, Grand Paris, France",rue de Tolbiac,RATP,RATP,,,,,Paris Métro,
Télégraphe (Paris Metro),,"Place des Fêtes (Châtelet, Paris Métro Line 11)Porte des Lilas (Rosny-Bois-Perrier, Paris Métro Line 11)",,,Paris Métro Line 11,,28 April 1935,,,,,,,"48° 52′ 31.01″ N, 2° 23′ 53.99″ E",,19th arrondissement of Paris20th arrondissement of ParisFrance,,RATP,RATP,,,,,Paris Métro,
Trinité - d'Estienne d'Orves (Paris Metro),,"Notre-Dame-de-Lorette (Mairie d'Aubervilliers, Paris Métro Line 12)Saint-Lazare (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,5 November 1910,,,,,,,"48° 52′ 34.79″ N, 2° 19′ 57.5″ E",,"9th arrondissement of Paris, Paris, Grand Paris, France",Église de la Sainte-Trinitéplace d'Estienne-d'Orves,RATP,RATP,,,,,Paris Métro,
La Tour-Maubourg (Paris Metro),,"École Militaire (Balard, Paris Métro Line 8)Invalides (Pointe du Lac, Paris Métro Line 8)",,,Paris Métro Line 8,,13 July 1913,,,,,,,"48° 51′ 27″ N, 2° 18′ 37.01″ E",,"7th arrondissement of Paris, Paris, Grand Paris, France",boulevard de La Tour-Maubourg,RATP,RATP,,,,,Paris Métro,
Trocadéro (Paris Metro),,"Boissière (Charles de Gaulle - Étoile, Paris Métro Line 6)Passy (Nation, Paris Métro Line 6)Rue de la Pompe (Pont de Sèvres, Paris Métro Line 9)Iéna (Mairie de Montreuil, Paris Métro Line 9)",,,Paris Métro Line 6Paris Métro Line 9 (1922–),,2 October 1900,,,,,2 October 1900,,"48° 51′ 47.88″ N, 2° 17′ 13.42″ E",,"16th arrondissement of Paris, Paris, Grand Paris, France",Place du Trocadéro,RATP,RATP,,,,,Paris Métro,
Tuileries (Paris Metro),,,,,,,,,,,,,,"48° 51′ 52.2″ N, 2° 19′ 49.1″ E",,,,,,,,,,,
Val de Fontenay (Paris Metro),,"Rosny-Bois-Perrier (Saint-Denis Pleyel, Paris Métro Line 15)Nogent - Le Perreux (Champigny Centre, Paris Métro Line 15)Grand Pêchers (La Défense, Paris Métro Line 1)",,,Paris Métro Line 1Paris Métro Line 15,,,,,,,,Gare du Val de Fontenay,"48° 51′ 20.16″ N, 2° 29′ 22.81″ E",,,,,,,,,,Paris Métro,
Université Paris-Saclay (Paris Metro),,"CEA Saint-Aubin (Nanterre La Folie, Paris Métro Line 18)Polytechnique (Aéroport d'Orly, Paris Métro Line 18)",Benthem Crouwel Architects,,Paris Métro Line 18,,,,,,,,,"48° 42′ 43″ N, 2° 10′ 26″ E",,"Orsay, Essonne, Île-de-France, Metropolitan France, France",,,,,,,,Paris Métro,
Vavin (Paris Metro),,"Montparnasse – Bienvenüe (Porte de Clignancourt, Paris Métro Line 4)Raspail (Bagneux–Lucie Aubrac, Paris Métro Line 4)",,,Paris Métro Line 4,,9 January 1910,,,,,1910,,"48° 50′ 31.21″ N, 2° 19′ 44.41″ E",,6th arrondissement of Paris14th arrondissement of ParisFrance,rue Vavin,RATP,RATP,,,,,Paris Métro,
Vaneau (Paris Metro),,"Duroc (Boulogne – Pont de Saint-Cloud, Paris Métro Line 10)Sèvres–Babylone (Gare d'Austerlitz, Paris Métro Line 10)",,,Paris Métro Line 10,,30 December 1923,,,,,,,"48° 50′ 56″ N, 2° 19′ 17″ E",,6th arrondissement of Paris7th arrondissement of ParisFrance,rue Vaneau,RATP,RATP,,,,,Paris Métro,
Varenne (Paris Metro),,"Invalides (Les Courtilles, Saint-Denis – Université, Paris Métro Line 13)Saint-François-Xavier (Châtillon - Montrouge, Paris Métro Line 13)",,,Paris Métro Line 13,,20 December 1923,,,,,,,"48° 51′ 22″ N, 2° 18′ 52.99″ E",,"7th arrondissement of Paris, Paris, Grand Paris, France",rue de Varenne,RATP,RATP,,,,,Paris Métro,
Vaugirard (Paris Metro),,"Volontaires (Mairie d'Aubervilliers, Paris Métro Line 12)Convention (Mairie d'Issy, Paris Métro Line 12)",,,Paris Métro Line 12,,5 November 1910,,,,,,,"48° 50′ 23″ N, 2° 18′ 05″ E",,"15th arrondissement of Paris, Paris, Grand Paris, France",rue de Vaugirard,RATP,RATP,,,,,Paris Métro,
Versailles Chantiers (Paris Metro),,"Satory (Aéroport d'Orly, Paris Métro Line 18)Rueil (Nanterre La Folie, Paris Métro Line 18)",,,Paris Métro Line 18,,,,,,,,Gare de Versailles-ChantiersQ85979995,"48° 47′ 41″ N, 2° 08′ 12″ E",,,,,,,,,,Paris Métro,
Le Vert de Maisons (Paris Metro),,"Les Ardoines (Pont de Sèvres, Paris Métro Line 15)Créteil - L'Échat (Noisy - Champs, Paris Métro Line 15)",,,Paris Métro Line 15,,,Le Vert de Maisons,,,,,,"48° 47′ 21.84″ N, 2° 25′ 57.04″ E",,,,,,,,,,Paris Métro,
Villejuif - Louis Aragon (Paris Metro),,"Villejuif – Paul Vaillant-Couturier (La Courneuve - 8 Mai 1945, Paris Métro Line 7)Villejuif - Gustave Roussy (Pont de Sèvres, Paris Métro Line 15, building or structure under construction)Vitry Centre (Noisy - Champs, Paris Métro Line 15, building or structure under construction)",Philippe Gazeau,,Paris Métro Line 7Paris Métro Line 15 (building or structure under construction),,28 February 1985,,,,,1985,Villejuif - Louis Aragon,"48° 47′ 13.83″ N, 2° 22′ 03.23″ E",,"Villejuif, Val-de-Marne, Île-de-France, Metropolitan France, France",Louis AragonVillejuif,RATP,RATP,,,,,Paris Métro,
Victor Hugo (Paris Metro),,,,,,,,,,,,,,"48° 52′ 11.81″ N, 2° 17′ 08.33″ E",,,,,,,,,,,
Villejuif - Paul Vaillant-Couturier (Paris Metro),,"Villejuif - Louis Aragon (Villejuif - Louis Aragon, Paris Métro Line 7)Villejuif – Léo Lagrange (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,28 February 1985,,,,,1985,,"48° 47′ 44.99″ N, 2° 22′ 05.02″ E",,"Villejuif, Val-de-Marne, Île-de-France, Metropolitan France, France",Villejuifavenue Paul-Vaillant-Couturier,RATP,RATP,,,,,Paris Métro,
Villejuif - Léo Lagrange (Paris Metro),,"Villejuif – Paul Vaillant-Couturier (Villejuif - Louis Aragon, Paris Métro Line 7)Le Kremlin-Bicêtre (La Courneuve - 8 Mai 1945, Paris Métro Line 7)",,,Paris Métro Line 7,,28 February 1985,,,,,,,"48° 48′ 13″ N, 2° 21′ 50″ E",,"Villejuif, Val-de-Marne, Île-de-France, Metropolitan France, France",VillejuifLéo Lagrange,RATP,RATP,,,,,Paris Métro,
